Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
07/22/2020,02/01/2020,07/18/2020,AL,Autauga County,1001,12,230
07/22/2020,02/01/2020,07/18/2020,AL,Butler County,1013,19,112
07/22/2020,02/01/2020,07/18/2020,AL,Colbert County,1033,13,289
07/22/2020,02/01/2020,07/18/2020,AL,Covington County,1039,21,246
07/22/2020,02/01/2020,07/18/2020,AL,Dallas County,1047,14,219
07/22/2020,02/01/2020,07/18/2020,AL,Elmore County,1051,24,340
07/22/2020,02/01/2020,07/18/2020,AL,Etowah County,1055,16,707
07/22/2020,02/01/2020,07/18/2020,AL,Houston County,1069,65,883
07/22/2020,02/01/2020,07/18/2020,AL,Jefferson County,1073,237,4483
07/22/2020,02/01/2020,07/18/2020,AL,Lee County,1081,72,585
07/22/2020,02/01/2020,07/18/2020,AL,Madison County,1089,26,1864
07/22/2020,02/01/2020,07/18/2020,AL,Marshall County,1095,15,537
07/22/2020,02/01/2020,07/18/2020,AL,Mobile County,1097,196,2441
07/22/2020,02/01/2020,07/18/2020,AL,Montgomery County,1101,180,1466
07/22/2020,02/01/2020,07/18/2020,AL,Morgan County,1103,10,611
07/22/2020,02/01/2020,07/18/2020,AL,Shelby County,1117,26,632
07/22/2020,02/01/2020,07/18/2020,AL,Tallapoosa County,1123,56,281
07/22/2020,02/01/2020,07/18/2020,AL,Tuscaloosa County,1125,87,1051
07/22/2020,02/01/2020,07/18/2020,AL,Walker County,1127,21,447
07/22/2020,02/01/2020,07/18/2020,AZ,Apache County,4001,24,214
07/22/2020,02/01/2020,07/18/2020,AZ,Cochise County,4003,14,525
07/22/2020,02/01/2020,07/18/2020,AZ,Coconino County,4005,105,607
07/22/2020,02/01/2020,07/18/2020,AZ,Gila County,4007,10,346
07/22/2020,02/01/2020,07/18/2020,AZ,Maricopa County,4013,1457,19667
07/22/2020,02/01/2020,07/18/2020,AZ,Mohave County,4015,100,1685
07/22/2020,02/01/2020,07/18/2020,AZ,Navajo County,4017,35,498
