SHOULDBE,CURRENTNAME ,state,STATEABBR,FIPS,NYTFIPS
Autauga,Autauga County,Alabama,AL,1001,1001
Baldwin,Baldwin County,Alabama,AL,1003,1003
Barbour,Barbour County,Alabama,AL,1005,1005
Bibb,Bibb County,Alabama,AL,1007,1007
Blount,Blount County,Alabama,AL,1009,1009
Bullock,Bullock County,Alabama,AL,1011,1011
Butler,Butler County,Alabama,AL,1013,1013
Calhoun,Calhoun County,Alabama,AL,1015,1015
Chambers,Chambers County,Alabama,AL,1017,1017
Cherokee,Cherokee County,Alabama,AL,1019,1019
Chilton,Chilton County,Alabama,AL,1021,1021
Choctaw,Choctaw County,Alabama,AL,1023,1023
Clarke,Clarke County,Alabama,AL,1025,1025
Clay,Clay County,Alabama,AL,1027,1027
Cleburne,Cleburne County,Alabama,AL,1029,1029
Coffee,Coffee County,Alabama,AL,1031,1031
Colbert,Colbert County,Alabama,AL,1033,1033
Conecuh,Conecuh County,Alabama,AL,1035,1035
Coosa,Coosa County,Alabama,AL,1037,1037
Covington,Covington County,Alabama,AL,1039,1039
Crenshaw,Crenshaw County,Alabama,AL,1041,1041
Cullman,Cullman County,Alabama,AL,1043,1043
Dale,Dale County,Alabama,AL,1045,1045
Dallas,Dallas County,Alabama,AL,1047,1047
DeKalb,DeKalb County,Alabama,AL,1049,1049
Elmore,Elmore County,Alabama,AL,1051,1051
Escambia,Escambia County,Alabama,AL,1053,1053
Etowah,Etowah County,Alabama,AL,1055,1055
Fayette,Fayette County,Alabama,AL,1057,1057
Franklin,Franklin County,Alabama,AL,1059,1059
Geneva,Geneva County,Alabama,AL,1061,1061
Greene,Greene County,Alabama,AL,1063,1063
Hale,Hale County,Alabama,AL,1065,1065
Henry,Henry County,Alabama,AL,1067,1067
Houston,Houston County,Alabama,AL,1069,1069
Jackson,Jackson County,Alabama,AL,1071,1071
Jefferson,Jefferson County,Alabama,AL,1073,1073
Lamar,Lamar County,Alabama,AL,1075,1075
Lauderdale,Lauderdale County,Alabama,AL,1077,1077
Lawrence,Lawrence County,Alabama,AL,1079,1079
Lee,Lee County,Alabama,AL,1081,1081
Limestone,Limestone County,Alabama,AL,1083,1083
Lowndes,Lowndes County,Alabama,AL,1085,1085
Macon,Macon County,Alabama,AL,1087,1087
Madison,Madison County,Alabama,AL,1089,1089
Marengo,Marengo County,Alabama,AL,1091,1091
Marion,Marion County,Alabama,AL,1093,1093
Marshall,Marshall County,Alabama,AL,1095,1095
Mobile,Mobile County,Alabama,AL,1097,1097
Monroe,Monroe County,Alabama,AL,1099,1099
Montgomery,Montgomery County,Alabama,AL,1101,1101
Morgan,Morgan County,Alabama,AL,1103,1103
Perry,Perry County,Alabama,AL,1105,1105
Pickens,Pickens County,Alabama,AL,1107,1107
Pike,Pike County,Alabama,AL,1109,1109
Randolph,Randolph County,Alabama,AL,1111,1111
Russell,Russell County,Alabama,AL,1113,1113
Shelby,St. Clair County,Alabama,AL,1117,1117
St. Clair,Shelby County,Alabama,AL,1115,1115
Sumter,Sumter County,Alabama,AL,1119,1119
Talladega,Talladega County,Alabama,AL,1121,1121
Tallapoosa,Tallapoosa County,Alabama,AL,1123,1123
Tuscaloosa,Tuscaloosa County,Alabama,AL,1125,1125
Walker,Walker County,Alabama,AL,1127,1127
Washington,Washington County,Alabama,AL,1129,1129
Wilcox,Wilcox County,Alabama,AL,1131,1131
Winston,Winston County,Alabama,AL,1133,1133
Apache,Apache County,Arizona,AZ,2013,4001
Cochise,Cochise County,Arizona,AZ,2016,4003
Coconino,Coconino County,Arizona,AZ,2020,4005
Gila,Gila County,Arizona,AZ,2050,4007
Graham,Graham County,Arizona,AZ,2060,4009
Greenlee,Greenlee County,Arizona,AZ,2068,4011
La Paz,La Paz County,Arizona,AZ,2070,4012
Maricopa,Maricopa County,Arizona,AZ,2090,4013
Mohave,Mohave County,Arizona,AZ,2100,4015
Navajo,Navajo County,Arizona,AZ,2110,4017
Pima,Pima County,Arizona,AZ,2122,4019
Pinal,Pinal County,Arizona,AZ,2130,4021
Santa Cruz,Santa Cruz County,Arizona,AZ,2150,4023
Yavapai,Yavapai County,Arizona,AZ,2158,4025
Yuma,Yuma County,Arizona,AZ,2164,4027
Arkansas,Arkansas County,Arkansas,AR,2170,5001
Ashley,Ashley County,Arkansas,AR,2180,5003
Baxter,Baxter County,Arkansas,AR,2185,5005
Benton,Benton County,Arkansas,AR,2188,5007
Boone,Boone County,Arkansas,AR,2195,5009
Bradley,Bradley County,Arkansas,AR,2198,5011
Calhoun,Calhoun County,Arkansas,AR,2220,5013
Carroll,Carroll County,Arkansas,AR,2240,5015
Chicot,Chicot County,Arkansas,AR,,5017
Clark,Clark County,Arkansas,AR,2261,5019
Clay,Clay County,Arkansas,AR,2275,5021
Cleburne,Cleburne County,Arkansas,AR,2290,5023
Cleveland,Cleveland County,Arkansas,AR,4001,5025
Columbia,Columbia County,Arkansas,AR,4003,5027
Conway,Conway County,Arkansas,AR,4005,5029
Craighead,Craighead County,Arkansas,AR,4007,5031
Crawford,Crawford County,Arkansas,AR,4009,5033
Crittenden,Crittenden County,Arkansas,AR,4011,5035
Cross,Cross County,Arkansas,AR,4012,5037
Dallas,Dallas County,Arkansas,AR,4013,5039
Desha,Desha County,Arkansas,AR,4015,5041
Drew,Drew County,Arkansas,AR,4017,5043
Faulkner,Faulkner County,Arkansas,AR,4019,5045
Franklin,Franklin County,Arkansas,AR,4021,5047
Fulton,Fulton County,Arkansas,AR,4023,5049
Garland,Garland County,Arkansas,AR,4025,5051
Grant,Grant County,Arkansas,AR,4027,5053
Greene,Greene County,Arkansas,AR,5001,5055
Hempstead,Hempstead County,Arkansas,AR,5003,5057
Hot Spring,Hot Spring County,Arkansas,AR,5005,5059
Howard,Howard County,Arkansas,AR,5007,5061
Independence,Independence County,Arkansas,AR,5009,5063
Izard,Izard County,Arkansas,AR,5011,5065
Jackson,Jackson County,Arkansas,AR,5013,5067
Jefferson,Jefferson County,Arkansas,AR,5015,5069
Johnson,Johnson County,Arkansas,AR,5017,5071
Lafayette,Lafayette County,Arkansas,AR,5019,5073
Lawrence,Lawrence County,Arkansas,AR,5021,5075
