"","County_FIPS_Code","State_FIPS_Code","CHSI_County_Name","CHSI_State_Name","CHSI_State_Abbr","Strata_ID_Number","Strata_Determining_Factors","Number_Counties","Population_Size","Population_Density","Poverty","Age_19_Under","Age_19_64","Age_65_84","Age_85_and_Over","White","Black","Native_American","Asian","Hispanic","No_HS_Diploma","Unemployed","Sev_Work_Disabled","Major_Depression","Recent_Drug_Use","Ecol_Rpt","Ecol_Rpt_Ind","Ecol_Exp","Salm_Rpt","Salm_Rpt_Ind","Salm_Exp","Shig_Rpt","Shig_Rpt_Ind","Shig_Exp","Toxic_Chem","Carbon_Monoxide_Ind","Nitrogen_Dioxide_Ind","Sulfur_Dioxide_Ind","Ozone_Ind","Particulate_Matter_Ind","Lead_Ind","EH_Time_Span","No_Exercise","Few_Fruit_Veg","Obesity","High_Blood_Pres","Smoker","Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Prim_Care_Phys_Rate","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind","A_Wh_Comp","A_Bl_Comp","A_Ot_Comp","A_Hi_Comp","A_Wh_BirthDef","A_Bl_BirthDef","A_Ot_BirthDef","A_Hi_BirthDef","B_Wh_Injury","B_Bl_Injury","B_Ot_Injury","B_Hi_Injury","B_Wh_Cancer","B_Bl_Cancer","B_Ot_Cancer","B_Hi_Cancer","B_Wh_Homicide","B_Bl_Homicide","B_Ot_Homicide","B_Hi_Homicide","C_Wh_Injury","C_Bl_Injury","C_Ot_Injury","C_Hi_Injury","C_Wh_Homicide","C_Bl_Homicide","C_Ot_homicide","C_Hi_Homicide","C_Wh_Suicide","C_Bl_Suicide","C_Ot_Suicide","C_Hi_Suicide","C_Wh_Cancer","C_Bl_Cancer","C_Ot_Cancer","C_Hi_Cancer","D_Wh_Injury","D_Bl_Injury","D_Ot_Injury","D_Hi_Injury","D_Wh_Cancer","D_Bl_Cancer","D_Ot_Cancer","D_Hi_Cancer","D_Wh_HeartDis","D_Bl_HeartDis","D_Ot_HeartDis","D_Hi_HeartDis","D_Wh_Suicide","D_Bl_Suicide","D_Ot_Suicide","D_Hi_Suicide","D_Wh_HIV","D_Bl_HIV","D_Ot_HIV","D_Hi_HIV","D_Wh_Homicide","D_Bl_Homicide","D_Ot_Homicide","D_Hi_Homicide","E_Wh_Cancer","E_Bl_Cancer","E_Ot_Cancer","E_Hi_Cancer","E_Wh_HeartDis","E_Bl_HeartDis","E_Ot_HeartDis","E_Hi_HeartDis","F_Wh_HeartDis","F_Bl_HeartDis","F_Ot_HeartDis","F_Hi_HeartDis","F_Wh_Cancer","F_Bl_Cancer","F_Ot_Cancer","F_Hi_Cancer","LCD_Time_Span","ALE","US_ALE","All_Death","US_All_Death","Health_Status","US_Health_Status","Unhealthy_Days","US_Unhealthy_Days"
"1","001","01","Autauga","Alabama","AL",29,"frontier status, population size, poverty, age",37,48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,6690,774,1727,2680,2394,2,3,4,50,4,31,4,3,11,2883197,1,1,1,1,1,1,NA,27.8,78.6,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,NA,NA,NA,18,NA,NA,22,12,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,23,NA,NA,23,30,NA,NA,32,38,NA,NA,20,19,NA,NA,NA,74.9,76.5,1041.5,898.6,21.8,17.1,7.5,6
"2","003","01","Baldwin","Alabama","AL",16,"frontier status, population size, poverty, age",27,162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,20254,2533,4933,9354,7753,2,3,4,99,4,67,41,4,13,35664,1,1,1,2,1,1,NA,27.2,76.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,1,2,57,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,13,NA,NA,11,NA,NA,NA,16,18,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,37,28,NA,NA,22,33,NA,NA,30,32,NA,NA,23,20,NA,NA,NA,76.6,76.5,856.9,898.6,15.4,17.1,6.7,6
"3","005","01","Barbour","Alabama","AL",51,"frontier status, population size, poverty, age, population density",33,28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,6729,569,1302,1618,1403,0,3,0,53,4,29,1,3,16,49874,1,1,1,1,1,1,NA,NA,NA,25.6,NA,17.7,6.6,5126,3288,1092,45.8,24.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,19,NA,NA,21,NA,NA,NA,11,25,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,26,NA,NA,29,35,NA,NA,33,29,NA,NA,20,26,NA,NA,NA,74.5,76.5,1019.4,898.6,21.4,17.1,NA,6
"4","007","01","Bibb","Alabama","AL",42,"frontier status, population size, poverty, age",53,21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,5355,358,900,1218,1034,2,4,2,9,3,32,3,3,16,7302,1,1,1,1,1,1,NA,NA,86.6,NA,NA,NA,13.1,3315,2390,974,41.8,18.6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,29,24,NA,NA,16,21,NA,NA,13,18,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,29,NA,NA,23,29,NA,NA,31,26,NA,NA,18,20,NA,NA,NA,73.2,76.5,1050.5,898.6,19.4,17.1,NA,6
"5","009","01","Blount","Alabama","AL",28,"frontier status, population size, poverty, age",39,55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,11181,819,2217,3164,2675,1,3,5,25,3,31,11,4,5,889020,1,1,1,1,1,1,NA,33.5,74.6,24.2,NA,23.6,8.4,8131,5019,1300,16.2,10.8,2,1,34,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,16,NA,NA,NA,18,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,23,NA,NA,NA,34,36,NA,NA,20,28,NA,NA,NA,76.1,76.5,954.2,898.6,25.8,17.1,7.9,6
"6","011","01","Bullock","Alabama","AL",75,"frontier status, population size, poverty, age, population density",37,11055,18,26.2,24.7,63.2,10,2.2,27.8,71.4,0.4,0.2,5.9,2848,327,448,626,565,0,3,1,17,3,20,7,4,7,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2295,1433,504,54.3,18.1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,22,NA,NA,10,NA,NA,NA,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,26,NA,NA,31,33,NA,NA,39,33,NA,NA,16,20,NA,NA,NA,71.9,76.5,1107.6,898.6,NA,17.1,NA,6
"7","013","01","Butler","Alabama","AL",76,"frontier status, population size, poverty, age, population density",38,20766,27,20,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,4363,537,976,1164,1029,0,3,0,23,3,39,5,3,17,98136,1,1,1,1,1,1,NA,24.5,NA,22,NA,27.3,9.5,4055,3150,952,43.3,19.3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,20,NA,NA,NA,13,NA,NA,13,23,NA,NA,NA,NA,NA,NA,33,22,NA,NA,12,10,NA,NA,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,35,18,NA,NA,30,34,NA,NA,42,45,NA,NA,17,19,NA,NA,NA,73,76.5,1084.2,898.6,21.6,17.1,6.9,6
"8","015","01","Calhoun","Alabama","AL",6,"frontier status, population size, poverty",53,112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2,19546,2182,5722,6400,5545,0,3,3,31,3,54,33,4,33,808521,1,1,1,1,1,1,NA,29.2,81.9,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,1,2,36,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,33,13,NA,NA,NA,11,NA,NA,15,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,28,23,NA,NA,28,37,NA,NA,34,30,NA,NA,19,20,NA,NA,NA,73.1,76.5,1100.3,898.6,26.7,17.1,8,6
"9","017","01","Chambers","Alabama","AL",50,"frontier status, population size, poverty, age, population density",27,35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,8718,849,1470,2005,1647,0,3,2,32,4,29,1,3,9,276636,1,1,1,1,1,1,NA,34.7,84.6,NA,NA,11.7,17.1,5533,5473,1497,53.6,22.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,22,NA,NA,12,17,NA,NA,18,22,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,30,29,NA,NA,30,34,NA,NA,31,33,NA,NA,18,19,NA,NA,NA,73.8,76.5,1075.6,898.6,32.3,17.1,7.9,6
"10","019","01","Cherokee","Alabama","AL",64,"frontier status, population size, poverty, age, population density",41,24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,6398,464,1154,1436,1140,1,3,2,6,3,35,6,4,9,7077,1,1,1,1,1,1,NA,NA,NA,NA,NA,23.6,13.3,3583,3086,854,28.5,12.2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,12,NA,NA,NA,26,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,29,NA,NA,32,33,NA,NA,34,31,NA,NA,21,20,NA,NA,NA,75.3,76.5,999.3,898.6,NA,17.1,8.8,6
